name,brand,gender,category,size,price,composition,color,url,img_url,article_no,blob_url
5-pack body,H&M,girl,babybody,68-104,"149,00 kr.",Bomull 100%,Ljusrosa/Ljusgrå,https://www2.hm.com/sv_se/productpage.0533261001.html,"https://lp2.hm.com/hmprod?set=source[/model/2017/F00+0533261+001+00+1139.jpg],type[STILLLIFE_FRONT]&hmver=0&call=url[file:/product/main]+",0533261001,https://storage.googleapis.com/urbankiddo/H%26M/0533261001
5-pack body,H&M,girl,babybody,68-104,"149,00 kr.",Bomull 100%,Ljusblå/Mörkgrå,https://www2.hm.com/sv_se/productpage.0533261002.html,"https://lp2.hm.com/hmprod?set=source[/model/2017/F00+0533261+002+00+1139.jpg],type[STILLLIFE_FRONT]&hmver=0&call=url[file:/product/main]+",0533261002,https://storage.googleapis.com/urbankiddo/H%26M/0533261002
5-pack body,H&M,girl,babybody,68-104,"179,00 kr.",Bomull 100%,Ljusblå/Mörkblå,https://www2.hm.com/sv_se/productpage.0533261003.html,"https://lp2.hm.com/hmgoepprod?set=source[/5c/09/5c0991f2561f02f0f75fe44469f41c4847513a8e.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261003,https://storage.googleapis.com/urbankiddo/H%26M/0533261003
5-pack body,H&M,girl,babybody,68-104,"59,90 kr.",Bomull 100%,Rosa/Vit,https://www2.hm.com/sv_se/productpage.0533261004.html,"https://lp2.hm.com/hmgoepprod?set=source[/61/ec/61ec1c3957d63bad01995c09412245a6e1bd9aa1.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261004,https://storage.googleapis.com/urbankiddo/H%26M/0533261004
5-pack body,H&M,girl,babybody,68-104,"99,00 kr.",Bomull 100%,Mörkblå/Ljusblå,https://www2.hm.com/sv_se/productpage.0533261005.html,"https://lp2.hm.com/hmgoepprod?set=source[/2e/32/2e329d75676650e5b203e1f1ff795b5bcecc21d1.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261005,https://storage.googleapis.com/urbankiddo/H%26M/0533261005
5-pack body,H&M,girl,babybody,68-104,"129,00 kr.",Bomull 100%,Rosa/Ljusgrå,https://www2.hm.com/sv_se/productpage.0533261006.html,"https://lp2.hm.com/hmgoepprod?set=source[/3c/1a/3c1a476ef65aa4bfcf82c2fbbfcd46e83bc4cb5f.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261006,https://storage.googleapis.com/urbankiddo/H%26M/0533261006
5-pack body,H&M,girl,babybody,68-104,"99,00 kr.",Bomull 100%,Rosa/Turkos,https://www2.hm.com/sv_se/productpage.0533261008.html,"https://lp2.hm.com/hmgoepprod?set=source[/3a/e1/3ae1815b4ea20b5bff33f642e725537320beab60.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261008,https://storage.googleapis.com/urbankiddo/H%26M/0533261008
5-pack body,H&M,girl,babybody,68-104,"199,00 kr.",Bomull 100%,Svart/Mörkgrå,https://www2.hm.com/sv_se/productpage.0533261009.html,"https://lp2.hm.com/hmgoepprod?set=source[/44/26/4426f57e377ea0138c46448f0709a812317d9b4c.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261009,https://storage.googleapis.com/urbankiddo/H%26M/0533261009
5-pack body,H&M,girl,babybody,68-104,"199,00 kr.",Bomull 100%,Röd/Mörkgrön,https://www2.hm.com/sv_se/productpage.0533261010.html,"https://lp2.hm.com/hmgoepprod?set=source[/36/ad/36ad99603dc56f3912887130757bfb20810103ae.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261010,https://storage.googleapis.com/urbankiddo/H%26M/0533261010
5-pack body,H&M,girl,babybody,68-104,"129,00 kr.",Bomull 100%,Blå/Vit,https://www2.hm.com/sv_se/productpage.0533261011.html,"https://lp2.hm.com/hmgoepprod?set=source[/11/a9/11a93a26825aa8bb83731779e27066694bec05bf.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261011,https://storage.googleapis.com/urbankiddo/H%26M/0533261011
5-pack body,H&M,girl,babybody,68-104,"199,00 kr.",Bomull 100%,Rosa/Vit,https://www2.hm.com/sv_se/productpage.0533261012.html,"https://lp2.hm.com/hmgoepprod?set=source[/5c/fa/5cfacb350f2a3e04f06c0b4f247d44a0833e2633.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0533261012,https://storage.googleapis.com/urbankiddo/H%26M/0533261012
5-pack body,H&M,girl,babybody,68-104,"199,00 kr.",Bomull 100%,Vit/Rosa,https://www2.hm.com/sv_se/productpage.0533261013.html,"https://lp2.hm.com/hmgoepprod?set=source[/ca/9f/ca9f259f35cc525f8af7abc3490750b53ff9472e.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0533261013,https://storage.googleapis.com/urbankiddo/H%26M/0533261013
5-pack body,H&M,girl,babybody,68-104,"199,00 kr.",Bomull 100%,Mörkblå/Gråmelerad,https://www2.hm.com/sv_se/productpage.0533261015.html,"https://lp2.hm.com/hmgoepprod?set=source[/78/06/7806f88579f1ce80317867285204ec1c0496c151.jpg],origin[dam],category[kids_newborn_bodies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0533261015,https://storage.googleapis.com/urbankiddo/H%26M/0533261015
5-pack body,H&M,girl,babybody,68-104,"149,00 kr.",Bomull 100%,Ljusrosa/Ljusgrå,https://www2.hm.com/sv_se/productpage.0533261001.html,"https://lp2.hm.com/hmprod?set=source[/model/2017/F00+0533261+001+00+1139.jpg],type[STILLLIFE_FRONT]&hmver=0&call=url[file:/product/main]+",0533261001,https://storage.googleapis.com/urbankiddo/H%26M/0533261001
5-pack body,H&M,girl,babybody,68-104,"149,00 kr.",Bomull 100%,Ljusblå/Mörkgrå,https://www2.hm.com/sv_se/productpage.0533261002.html,"https://lp2.hm.com/hmprod?set=source[/model/2017/F00+0533261+002+00+1139.jpg],type[STILLLIFE_FRONT]&hmver=0&call=url[file:/product/main]+",0533261002,https://storage.googleapis.com/urbankiddo/H%26M/0533261002
